Titulo,ISBN 13,,Recomendado por,
Narnia - 1 ,9780064405058,,Chipi,1
Narnia - 2,9780064404990,,Chipi,1
Narnia - 3,9780064471060,,Chipi,1
Narnia - 4,9780064471053,,Chipi,1
Narnia - 5,9780064405027,,Chipi,1
Narnia - 6,9780064471091,,Chipi,1
Narnia - 7,9780064471084,,Chipi,1
El Padrino,9780449234082,,Chipi,1
El Sillmarillion,9780544338012,,"Chipi, Mike Novella",2
Game of Thrones,9780553593716,,"Chipi, Andrés Fernandez",2
Eragon,9780375826696,,Chipi,1
The Hobbit,9780547928227,,"Mike Novella, Mijangos",2
LOTR 1,9780547928210,,"Mike Novella, Mijangos",2
LOTR 2,9780547928203,,"Mike Novella, Mijangos",2
LOTR 3,9780547928197,,"Mike Novella, Mijangos",2
Orgullo y Prejuicio de Jane Austen,9781503290563,,Lourdes Sandoval,1
Conde de Montecristo,9780140449266,,Charlie,1
Los Tres Mosqueteros,9781613824061,,Rossie,1
I am the messenger de Markus Zusak,9780375836671,,Marieandre Gonzalez,1
La insoportable levedad del ser Kundera,9780061148521,,Santamaría,1
Lobo estepario de Herman Hesse,9780312278670,,"Chapa, Irene Grazioso",2
Inés del alma mía Allende,9780061161544,,Tórtola,1
The Dark Tower 1,9780451210845,,Andrea Mendoza,1
The Dark Tower 2,9780451210852,,Andrea Mendoza,1
The Dark Tower 3,9780451210869,,Andrea Mendoza,1
The Dark Tower 4,9780451210876,,Andrea Mendoza,1
The Dark Tower 5,9781416516934,,Andrea Mendoza,1
The Dark Tower 6,9781416521495,,Andrea Mendoza,1
The Dark Tower 7,9781416524526,,Andrea Mendoza,1
The Dark Tower 8,9781451658095,,Andrea Mendoza,1
La rosa separada,9789563511277,,Choca,1
El nombre del viento,9780756404741,,Sam,1
El temor de un hombre sabio,9780756407919,,Sam,1
El tunel de ernesto Sabato,9780143106531,,Jan,1
brave new world de aldous huxley,9780060850524,,Auyon,1
Crimen y castigo,9781435131828,,Irene Grazioso,1
Los Borgia,9780345526922,,Majo Herrarte,1
Catedral del Mar,9780451225993,,"Andy, Juan, Alvaro",3
Amor en tiempos de cólera,9780307389732,,Álvaro,1
Sombra de viento,9780143034902,,"Juan, Thomas, Mariana Grazioso",3
American sniper,9780062238863,,Negro,1
Verde de ted dekker,9781595546821,,Gonzalo Zarco,1
Nicholas Flamel de Michael Scott 1,9780385736008,,Regis,1
Nicholas Flamel de Michael Scott 2,9780385737289,,Regis,1
Nicholas Flamel de Michael Scott 3,9780385735308,,Regis,1
Nicholas Flamel de Michael Scott 4,9780385735322,,Regis,1
Nicholas Flamel de Michael Scott 5,9780385735346,,Regis,1
Nicholas Flamel de Michael Scott 6,9780385735360,,Regis,1
Caballo de Troya,9781250042545,,Papucho,1
Misery,9781501143106,,Papucho,1
The shining,9780307743657,,Papucho,1
The shawshank redemption de stephen king,9780751514629,,Papucho,1
a wizard of earthsea de ursula k leguin,9780547773742,,Papucho,1
Crónicas marcianas,9781505877359,,Oveja,1
"Yo, robot",9780553382563,,Oveja,1
Percy Jackson 1,9780786838653,,Elena Abascal,1
Percy Jackson 2,9781423103349,,Elena Abascal,1
Percy Jackson 3,9781423101482,,Elena Abascal,1
Percy Jackson 4,9781423101499,,Elena Abascal,1
Percy Jackson 5,9781423101505,,Elena Abascal,1
Hunger games 1,9780439023528,,Elena Abascal,1
Hunger games 2,9780545586177,,Elena Abascal,1
Hunger games 3,9780545663267,,Elena Abascal,1
To kill a Mockingbird,9780446310789,,Analu Flores,1
Casa de los espíritu Allende,9781501117015,,Ana Margarita,1
All the lights we cannot see,9781476746586,,Ana margarita,1
La ladrona de libros,9780375842207,,Ana margarita,1
La llave de sara,9780312370848,,Ana margarita,1
ciudad de las bestias Allende,9780060535032,,Mariana Grazioso,1
Coleccionista de huesos Dreaver,9780451469793,,Mariana Grazioso,1
Hija de la fortuna Allende,9780061565335,,Mariana Grazioso,1
Hombres que no querían a las mujeres de stieg larsson,9780307949486,,Mariana Grazioso,1
